cluster,skin_type_encoded,acne_level_encoded,factor_deep_cleansing,factor_acne_friendly,factor_sensitive_friendly,factor_hypoallergenic,factor_moisturizing,factor_low_friction,factor_nourishment,factor_eye_friendly,factor_oil_control,factor_no_allergen,prob_ผิวมันเยิ้ม,prob_ผิวแพ้ง่าย,prob_สิวอักเสบ,prob_สิวอุดตัน,prob_รูขุมขนกว้าง,prob_uneven skintone,prob_ผิวหมองคล้ำ,prob_ผิวแห้ง/ลอก/เป็นขุย,prob_ฝ้า กระ,prob_รอยสิว,prob_ริ้วรอย,prob_สิวผด,prob_สิวเสี้ยน,prob_สิวเสี้ยน​,prob_หลุมสิว,prob_ไม่มีปัญหาผิว
0,1.8,1.6,4.8,4.4,4.6,4.2,4.4,4.0,4.2,4.6,4.2,4.2,0.4,0.0,0.2,0.6,1.0,0.0,0.4,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
1,3.44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.56,0.11,0.56,0.33,0.0,0.56,0.33,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0
2,2.8,2.6,5.0,5.0,5.0,4.8,4.6,4.8,4.0,4.4,4.2,4.6,0.6,1.0,1.0,1.0,0.8,0.0,0.4,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
